Date,Item,Quantity,Price,Price,Gain(gp),Gain(mil)
01.aug,Leather,1056,383,643,274560,"0,27456"
01.aug,Molten glass,20440,175,238,1287720,"1,28772"
01.aug,Cannonballs,20000,445,482,740000,"0,74"
01.aug,Molten glass,19243,174,211,711991,"0,711991"
01.aug,Cannonballs,19998,432,478,919908,"0,919908"
03.aug,Cannonballs,40000,430,477,1880000,"1,88"
03.aug,Soft Clay,30000,513,543,900000,"0,9"
04.aug,Vibrant energy,82484,123,144,1732164,"1,732164"
04.aug,Molten glass,10000,174,217,430000,"0,43"
04.aug,Cannonballs,20000,432,457,500000,"0,5"
04.aug,Vibrant energy,97133,123,148,2428325,"2,428325"
05.aug,Soft Clay,40000,525,598,2920000,"2,92"
06.aug,Bane platelegs,8,368,29999,237048,"0,237048"
06.aug,Cannonballs,20000,416,464,960000,"0,96"
07.aug,Bane platebody,19,26102,39400,252662,"0,252662"
07.aug,Soft Clay,21933,521,615,2061702,"2,061702"
07.aug,Vibrant energy,42240,123,144,887040,"0,88704"
07.aug,Soft Clay,20000,568,628,1200000,"1,2"
07.aug,Molten glass,13398,174,210,482328,"0,482328"
07.aug,Cannonballs,26810,416,460,1179640,"1,17964"
07.aug,Soft Clay,19998,569,647,1559844,"1,559844"
07.aug,Vibrant energy,35739,123,198,2680425,"2,680425"
07.aug,Soft Clay,23718,569,644,1778850,"1,77885"
08.aug,Molten glass,15138,173,190,257346,"0,257346"
08.aug,Soft Clay,17607,581,658,1355739,"1,355739"
08.aug,Molten glass,10207,173,201,285796,"0,285796"
08.aug,Cannonballs,20000,402,457,1100000,"1,1"
10.aug,Soft Clay,44991,576,619,1934613,"1,934613"
05.10.20,Cowhide,1000,6852,8998,2146000,"2,146"
05.10.20,Leather,1050,8000,11999,4198950,"4,19895"
06.10.20,Leather,3000,8000,6999,-3003000,"-3,003"
06.10.20,Cowhide,4926,7556,5549,-9886482,"-9,886482"
06.10.20,Aquatic jadinko,1,5700000,7000000,1300000,"1,3"
10.10.20,Leather,3000,6255,4099,-6468000,"-6,468"
10.10.20,Aquatic jadinko,1,5700000,7000000,1300000,"1,3"
10.10.20,Copper ore,24990,405,539,3348660,"3,34866"
10.10.20,Bane full helm +4,135,342270,599999,34793415,"34,793415"
10.10.20,Silk,99,3001,4199,118602,"0,118602"
10.10.20,Copper ore,24990,405,539,3348660,"3,34866"
10.10.20,Copper ore,24990,405,539,3348660,"3,34866"
10.10.20,Leather cowl,81,1301,4899,291438,"0,291438"
11.10.20,Gold ore,24990,571,596,624750,"0,62475"
11.10.20,Aquatic jadinko,4,5700000,7000000,5200000,"5,2"
11.10.20,Iron ore,24990,515,546,774690,"0,77469"
12.10.20,Bane full helm +4,21,342270,599999,5412309,"5,412309"
13.10.20,Bane full helm +4,73,342270,599999,18814217,"18,814217"
15.10.20,Orikalkum full helm +3,16,25200,300000,4396800,"4,3968"
15.10.20,Aquatic jadinko,1,5700000,7000000,1300000,"1,3"
16.10.20,Bane full helm +4,8,342270,599999,2061832,"2,061832"
17.10.20,Bane platelegs +4,6,400002,614499,1286982,"1,286982"
